	Millis	  V_m  A_m   W_m   Wh_mTmp_m Pres_m Vcap_m State_m	  V_s  A_s   W_s   Wh_sTmp_s Pres_s Vcap_s State_s
FC	47d97	58.6  0.0  0.0 21.0 54.5  0.6 20.6  0.0 	20.0 16.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	59.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	22.0  3.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	 0.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	21.5  1.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.2  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	16.9 15.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	15.2  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	15.0 12.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	11.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	11.8 15.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.3  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.1  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.5  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.5  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.6  1.6  0.0 21.0 54.5  0.7 21.2  0.0 	17.3  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.4  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.6  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.5  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.7  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.8  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.6  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.9  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	17.9  1.6  0.0 21.0 54.5  0.7 21.2  0.0 	17.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
FC	48492	18.0  0.0  0.0 21.0 54.5  0.7 21.2  0.0 	17.7  0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 
