H182_noSync_v1.3.1
**
Starting Upv1.3.1
**
System Init.>>00.0V 00.0A 0000W 00000Wh 000.0C 000.0C 000.0C 000.0C 0.00B 00.0V 000.0C IN 00.0C 00 0
000 m
>>50.7V 07.2A 0366W 00002Wh 028.0C 034.4C 036.5C 035.2C 0.59B 48.7V 035.3C OP 42.7C 20 0248 0C 00 0
>>48.5V 07.2A 0353W 00002Wh 028.2C 034.5C 036.7C 035.4C 0.60B 48.7V 035.3C OP 42.7C 20 0248 0C 00 0
>>46.3V 14.8A 0688W 00002Wh 028.5C 034.7C 037.0C 035.6C 0.62B 48.7V 035.1C OP 44.5C 20 0298 0C 00 0
>>50.5V 07.9A 0402W 00002Wh 028.7C 034.9C 037.3C 035.9C 0.61B 48.7V 035.1C OP 43.0C 20 0257 0C 00 0
>>50.4V 07.7A 0392W 00002Wh 028.9C 035.1C 037.6C 036.2C 0.50B 48.7V 035.8C OP 42.8C 20 0252 0C 00 0
>>45.6V 15.4A 0704W 00003Wh 029.1C 035.2C 037.9C 036.5C 0.49B 48.7V 035.0C OP 44.5C 20 0298 0C 00 0
>>44.3V 17.7A 0787W 00003Wh 029.5C 035.5C 038.3C 036.9C 0.68B 40.8V 035.4C OP 45.2C 20 0318 0C 00 0
>>52.9V 01.5A 0083W 00003Wh 029.8C 035.7C 038.7C 037.3C 0.68B 40.8V 035.3C OP 41.7C 20 0220 0C 00 0
>>58.8V 00.5A 0033W 00003Wh 030.2C 035.9C 039.1C 037.7C 0.68B 40.8V 035.5C OP 41.1C 20 0214 0C 00 0
>>59.4V 00.6A 0038W 00003Wh 030.5C 036.1C 039.5C 038.1C 0.67B 40.8V 035.7C OP 41.1C 20 0221 0C 00 0
>>59.7V 00.6A 0038W 00003Wh 030.8C 036.3C 039.9C 038.4C 0.68B 40.8V 035.8C OP 41.1C 20 0248 0C 00 0
>>59.9V 00.6A 0037W 00003Wh 031.0C 036.5C 040.3C 038.7C 0.68B 40.8V 035.4C OP 41.1C 20 0268 0C 00 0
>>60.1V 00.6A 0040W 00003Wh 031.3C 036.7C 040.6C 038.9C 0.59B 43.0V 035.5C OP 41.1C 20 0300 0C 00 0
>>47.5V 10.9A 0521W 00003Wh 031.5C 036.8C 040.9C 039.2C 0.60B 43.0V 035.1C OP 43.4C 20 0286 0C 00 0
>>48.0V 12.6A 0606W 00003Wh 031.7C 036.9C 041.1C 039.5C 0.49B 43.0V 035.7C OP 44.0C 20 0284 0C 00 0
>>46.3V 15.0A 0696W 00003Wh 031.9C 037.1C 041.4C 039.8C 0.56B 43.0V 035.4C OP 44.5C 20 0299 0C 00 0
>>42.4V 21.3A 0906W 00004Wh 032.2C 037.3C 041.7C 040.1C 0.60B 43.0V 035.8C OP 46.1C 20 0342 0C 00 0
>>44.8V 17.6A 0790W 00004Wh 032.5C 037.5C 042.0C 040.4C 0.61B 43.0V 035.5C OP 45.3C 20 0320 0C 00 0
>>48.5V 11.5A 0559W 00004Wh 032.8C 037.7C 042.4C 040.8C 0.61B 45.0V 035.8C OP 43.8C 20 0278 0C 00 0
>>47.0V 09.6A 0453W 00004Wh 033.1C 037.9C 042.8C 041.1C 0.62B 45.0V 035.4C OP 43.3C 20 0265 0C 00 0
>>49.5V 09.9A 0494W 00004Wh 033.4C 038.1C 043.2C 041.5C 0.61B 45.0V 036.2C OP 43.4C 20 0279 0C 00 0
>>49.8V 09.1A 0455W 00004Wh 033.7C 038.3C 043.5C 041.8C 0.58B 45.0V 036.0C OP 43.2C 20 0317 0C 00 0
>>47.0V 13.4A 0632W 00005Wh 034.0C 038.5C 043.9C 042.2C 0.48B 45.0V 035.9C OP 44.2C 20 0356 0C 00 0
>>44.3V 18.0A 0801W 00005Wh 034.4C 038.7C 044.3C 042.6C 0.50B 45.0V 035.8C OP 45.2C 20 0388 0C 00 0
>>42.4V 21.6A 0917W 00005Wh 034.7C 039.1C 044.7C 043.1C 0.68B 39.4V 035.8C OP 46.2C 20 0411 0C 00 0
>>54.0V 00.6A 0036W 00005Wh 035.2C 039.4C 045.2C 043.5C 0.68B 39.4V 036.0C OP 41.6C 20 0505 0C 00 0
>>59.0V 00.6A 0040W 00005Wh 035.6C 039.7C 045.7C 044.0C 0.68B 39.4V 035.9C OP 41.1C 20 0668 0C 00 0
>>59.6V 00.7A 0041W 00005Wh 036.0C 040.0C 046.2C 044.4C 0.67B 39.4V 036.0C OP 41.1C 20 0792 0C 00 0
>>59.9V 00.7A 0044W 00005Wh 036.3C 040.2C 046.5C 044.7C 0.68B 39.4V 035.8C OP 41.1C 20 0978 0C 00 0
>>60.2V 00.6A 0040W 00005Wh 036.4C 040.3C 046.8C 044.9C 0.67B 39.4V 035.8C OP 41.1C 20 1000 0C 00 0
>>60.4V 00.7A 0042W 00005Wh 036.3C 040.2C 046.9C 044.8C 0.59B 40.3V 036.0C OP 41.1C 20 1000 0C 00 0
>>45.2V 13.1A 0595W 00005Wh 036.2C 040.0C 046.8C 044.6C 0.59B 40.3V 035.9C OP 43.9C 20 1000 0C 00 0
>>46.3V 14.3A 0664W 00005Wh 035.9C 039.7C 046.5C 044.2C 0.58B 40.3V 035.0C OP 44.4C 20 0992 0C 00 0
>>46.4V 13.7A 0637W 00006Wh 035.6C 039.2C 046.1C 043.7C 0.55B 40.3V 036.1C OP 44.3C 20 1000 0C 00 0
>>40.8V 21.6A 0883W 00006Wh 035.2C 038.8C 045.6C 043.2C 0.56B 40.3V 036.2C OP 46.2C 20 0913 0C 00 0
>>40.6V 21.6A 0879W 00006Wh 034.9C 038.6C 045.1C 042.8C 0.57B 40.3V 035.8C OP 46.2C 20 0851 0C 00 0
>>41.2V 21.3A 0882W 00006Wh 034.7C 038.6C 044.7C 042.5C 0.67B 41.4V 035.6C OP 46.1C 20 0760 0C 00 0
>>52.5V 02.4A 0130W 00006Wh 034.5C 038.4C 044.2C 042.2C 0.68B 41.4V 036.4C OP 42.0C 20 0756 0C 00 0
>>58.9V 00.6A 0039W 00006Wh 034.3C 038.2C 043.9C 041.9C 0.68B 41.4V 036.0C OP 41.1C 20 0777 0C 00 0
>>59.5V 00.6A 0039W 00006Wh 034.0C 037.9C 043.5C 041.5C 0.68B 41.4V 036.3C OP 41.1C 20 0771 0C 00 0
>>59.8V 00.6A 0038W 00006Wh 033.6C 037.6C 043.0C 041.0C 0.69B 41.4V 036.0C OP 41.1C 20 0763 0C 00 0
>>60.0V 00.6A 0037W 00006Wh 033.1C 037.3C 042.5C 040.4C 0.68B 41.4V 036.6C OP 41.1C 20 0729 0C 00 0
>>60.2V 00.7A 0042W 00007Wh 032.6C 036.8C 041.9C 039.9C 0.54B 35.7V 035.8C OP 41.1C 20 0684 0C 00 0
>>39.8V 21.5A 0858W 00007Wh 032.3C 036.7C 041.4C 039.5C 0.55B 35.7V 035.9C OP 45.7C 20 0567 0C 00 0
>>39.9V 24.5A 0982W 00007Wh 032.2C 036.7C 041.0C 039.4C 0.54B 35.7V 036.0C OP 46.9C 20 0385 0C 00 0
>>40.6V 23.7A 0963W 00007Wh 032.2C 036.7C 040.8C 039.4C 0.52B 35.7V 036.2C OP 46.7C 20 0359 0C 00 0
>>41.2V 22.8A 0944W 00008Wh 032.4C 036.8C 040.7C 039.5C 0.58B 35.7V 036.3C OP 46.5C 20 0353 0C 00 0
>>44.9V 17.9A 0806W 00008Wh 032.5C 036.9C 040.8C 039.6C 0.58B 35.7V 036.3C OP 45.4C 20 0323 0C 00 0
>>45.7V 16.5A 0755W 00008Wh 032.6C 037.1C 040.9C 039.9C 0.67B 41.5V 036.7C OP 45.0C 20 0311 0C 00 0
>>53.1V 01.9A 0105W 00008Wh 032.8C 037.3C 041.1C 040.1C 0.68B 41.5V 036.5C OP 41.7C 20 0222 0C 00 0
>>58.9V 00.7A 0043W 00008Wh 033.0C 037.4C 041.4C 040.3C 0.69B 41.5V 036.4C OP 41.1C 20 0231 0C 00 0
>>59.4V 00.7A 0042W 00008Wh 033.1C 037.6C 041.6C 040.6C 0.68B 41.5V 036.3C OP 41.1C 20 0260 0C 00 0
>>59.6V 00.7A 0042W 00008Wh 033.3C 037.7C 041.8C 040.8C 0.69B 41.5V 036.5C OP 41.1C 20 0311 0C 00 0
>>59.9V 00.7A 0043W 00008Wh 033.4C 037.8C 042.0C 040.9C 0.68B 41.5V 036.6C OP 41.1C 20 0335 0C 00 0
>>60.0V 00.7A 0043W 00008Wh 033.5C 038.0C 042.2C 041.1C 0.68B 34.9V 036.6C OP 41.1C 20 0395 0C 00 0
>>54.6V 00.7A 0039W 00008Wh 033.7C 038.0C 042.4C 041.3C 0.69B 34.9V 036.4C OP 41.1C 20 0439 0C 00 0
>>59.1V 00.7A 0043W 00008Wh 033.8C 038.2C 042.5C 041.5C 0.69B 34.9V 036.9C OP 41.1C 20 0483 0C 00 0
>>59.6V 00.7A 0043W 00008Wh 033.9C 038.3C 042.7C 041.6C 0.68B 34.9V 036.4C OP 41.1C 20 0519 0C 00 0
>>59.8V 00.6A 0040W 00008Wh 033.8C 038.3C 042.7C 041.6C 0.69B 34.9V 036.6C OP 41.1C 20 0569 0C 00 0
>>60.0V 00.6A 0040W 00008Wh 033.8C 038.2C 042.7C 041.5C 0.69B 34.9V 036.6C OP 41.1C 20 0595 0C 00 0
>>60.2V 00.7A 0042W 00008Wh 033.6C 038.0C 042.6C 041.3C 0.54B 32.5V 036.6C OP 41.1C 20 0620 0C 00 0
>>38.5V 25.0A 0965W 00008Wh 033.5C 038.0C 042.5C 041.3C 0.54B 32.5V 036.4C OP 46.5C 20 0555 0C 00 0
>>37.7V 28.8A 1088W 00009Wh 033.6C 038.0C 042.5C 041.3C 0.54B 32.5V 036.5C OP 47.9C 20 0416 0C 00 0
>>38.3V 27.8A 1068W 00009Wh 033.7C 038.1C 042.5C 041.5C 0.38B 32.5V 036.7C OP 47.7C 20 0387 0C 00 0
>>38.9V 27.1A 1056W 00009Wh 033.8C 038.2C 042.6C 041.7C 0.55B 32.5V 036.5C OP 47.5C 20 0382 0C 00 0
>>39.6V 26.4A 1049W 00010Wh 034.1C 038.4C 042.9C 042.0C 0.55B 32.5V 036.6C OP 47.4C 20 0377 0C 00 0
>>40.4V 25.7A 1040W 00010Wh 034.4C 038.6C 043.2C 042.4C 0.57B 37.6V 037.0C OP 47.2C 20 0372 0C 00 0
>>42.1V 18.7A 0788W 00010Wh 034.7C 038.9C 043.6C 042.8C 0.58B 37.6V 037.2C OP 45.6C 20 0329 0C 00 0
>>44.8V 19.7A 0886W 00010Wh 035.0C 039.2C 044.1C 043.3C 0.58B 37.6V 036.9C OP 45.7C 20 0332 0C 00 0
>>45.7V 17.9A 0818W 00011Wh 035.4C 039.5C 044.7C 043.9C 0.54B 37.6V 036.7C OP 45.3C 20 0321 0C 00 0
>>44.7V 18.8A 0842W 00011Wh 035.8C 039.8C 045.2C 044.4C 0.55B 37.6V 037.0C OP 45.5C 20 0326 0C 00 0
>>40.8V 25.0A 1025W 00011Wh 036.2C 040.1C 045.8C 045.0C 0.56B 37.6V 037.2C OP 46.9C 20 0364 0C 00 0
>>41.4V 24.4A 1013W 00011Wh 036.7C 040.6C 046.4C 045.6C 0.58B 39.0V 037.5C OP 46.9C 20 0440 0C 00 0
>>41.8V 19.8A 0828W 00012Wh 037.3C 041.0C 047.1C 046.3C 0.59B 39.0V 037.5C OP 45.9C 20 0512 0C 00 0
>>46.8V 16.1A 0755W 00012Wh 037.9C 041.4C 047.9C 047.1C 0.59B 39.0V 037.2C OP 44.9C 20 0680 0C 00 0
>>47.3V 14.5A 0687W 00012Wh 038.5C 042.0C 048.7C 047.9C 0.59B 39.0V 037.4C OP 44.5C 20 0811 0C 00 0
>>47.7V 13.0A 0622W 00012Wh 039.1C 042.4C 049.4C 048.7C 0.50B 39.0V 037.6C OP 44.1C 20 1000 0C 00 0
>>43.8V 18.9A 0829W 00012Wh 039.7C 042.9C 050.1C 049.4C 0.51B 39.0V 037.3C OP 45.4C 20 1000 0C 00 0
>>42.1V 21.2A 0897W 00013Wh 040.2C 043.2C 050.8C 050.0C 0.67B 39.7V 037.0C OP 46.1C 20 1000 0C 00 0
>>53.6V 00.9A 0049W 00013Wh 040.5C 043.3C 051.4C 050.2C 0.67B 39.7V 037.5C OP 41.6C 20 1000 0C 00 0
>>59.0V 00.6A 0037W 00013Wh 040.4C 043.1C 051.6C 050.1C 0.67B 39.7V 037.9C OP 41.1C 20 1000 0C 00 0
>>59.6V 00.6A 0040W 00013Wh 040.1C 042.6C 051.4C 049.5C 0.68B 39.7V 037.4C OP 41.1C 20 1000 0C 00 0
>>59.9V 00.5A 0034W 00013Wh 039.4C 041.8C 050.8C 048.7C 0.69B 39.7V 037.3C OP 41.1C 20 1000 0C 00 0
